doi,title,year,cited_by_count,in_refs_bib
10.1016/j.neucom.2012.12.039,Classification of covariance matrices using a Riemannian-based kernel for BCI applications,2013,467,barachant2013classification
10.1007/978-3-662-05296-9_31,A Metric for Covariance Matrices,2003,464,
10.1109/cvpr.2012.6247965,Covariance discriminative learning: A natural and efficient approach to image set classification,2012,448,
10.1088/1741-2552/aba162,BCI for stroke rehabilitation: motor and beyond,2020,443,
10.1088/1741-2560/3/1/r02,Towards adaptive classification for BCI,2006,435,
10.1109/mci.2015.2501545,Transfer Learning in Brain-Computer Interfaces Abstract\uFFFDThe performance of brain-computer inter,2016,432,
10.1080/2326263x.2017.1297192,Riemannian geometry for EEG-based brain-computer interfaces; a primer and a review,2017,427,
10.1109/tbme.2013.2270283,A Hybrid BCI System Combining P300 and SSVEP and Its Application to Wheelchair Control,2013,414,
10.1109/tnsre.2016.2627016,Riemannian Approaches in Brain-Computer Interfaces: A Review,2016,413,
10.1186/1471-2202-10-101,Functional neural network analysis in frontotemporal dementia and Alzheimer's disease using EEG and ,2009,405,
10.1109/cvpr.2014.226,Learning Expressionlets on Spatio-temporal Manifold for Dynamic Facial Expression Recognition,2014,396,
10.1109/tbme.2008.921154,Multiclass Common Spatial Patterns and Information Theoretic Feature Extraction,2008,391,
10.1109/tbme.2017.2742541,Transfer Learning: A Riemannian Geometry Framework With Applications to Brain–Computer Interfaces,2017,389,
10.3390/brainsci8040057,Brain–Computer Interface Spellers: A Review,2018,382,
10.1109/icdm.2019.00088,Transfer Learning with Dynamic Adversarial Adaptation Network,2019,379,
10.1016/j.proeng.2012.06.298,Analysis of Electroencephalography (EEG) Signals and Its Categorization–A Study,2012,367,
10.1109/taffc.2018.2885474,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,2018,367,
10.1109/taffc.2020.3014842,Self-Supervised ECG Representation Learning for Emotion Recognition,2020,367,
10.1109/tcds.2018.2826840,Domain Adaptation Techniques for EEG-Based Emotion Recognition: A Comparative Study on Two Public Da,2018,351,
10.1093/gigascience/gix034,EEG datasets for motor imagery brain–computer interface,2017,346,
10.1016/j.inffus.2020.01.008,Feature-level fusion approaches based on multimodal EEG data for depression recognition,2020,330,
10.1088/1741-2552/ab405f,HS-CNN: a CNN with hybrid convolution scale for EEG motor imagery classification,2019,325,
10.1109/taffc.2019.2922912,From Regional to Global Brain: A Novel Hierarchical Spatial-Temporal Neural Network Model for EEG Em,2019,307,
10.1088/1741-2560/3/3/003,Seperability of four-class motor imagery data using independent components analysis,2006,296,
